Number,Identifying,Describe
1028,1,i.Properties
1028,2,你的家一直在線
1028,3,為你提供最好品質的服務
1028,4,下面的流程遵循以下規則
1028,5,輸入頁面，搜索單元，選擇單元並執行操作。
1028,6,單位De-selection過程\單位發布過程\單位選擇歷史
1028,7,品質入圍\是好房子邁出的第一步。
1028,8,不請自來的陽光春風\花草自然的引入\
1028,9,還有你和家人的健康和幸福\更是好房子不可或缺的所在。
1028,10, 設定樓盤
1028,11, 設定付款
1028,12, 設定單位
1028,13, 單位選擇
1028,14, 建立價單
1028,15, 大量匯入/匯出資料
1028,16, 抽籤
1028,17, 銷售報告
1028,18, 跟蹤單元銷售狀況
1028,19, 單位消耗表
1028,20,1.
1028,21,2.
1028,22,3.
1028,23,4.
1028,24, 抽籤
1028,25,銷售大使+買家
1028,26,Walkin+買家
1028,27,在銷售大使的協助下註冊\支付定金並獲得投資回報（意願登記）
1028,28,開發人員管理
1028,29,在適用的情況下凍結銷售安排\並進行投票
1028,30,Walkin用戶進入投票結果室\等待結果顯示
1028,31,5.
1028,32,買家
1028,33,登記並進入區域進行單位選擇
1028,34,銷售大使/銷售經理幫助買家
1028,35,操作系統選擇單元和打印的PASP合同
1028,36,根據選定的付款計劃\準備第一次付款的支票
1028,37,簽署合同並向銷售大使支付第一張付款支票
1028,38,推銷員
1028,39,將支票和合同副本提交給檢驗員
1028,40,人群控制管理
1028,41,管理+買家
1028,42,潛在的買家需要支付押金以登記投票的RO
1028,43,開發人員可以定義不同的階段來控制人群
1028,44,ROI包含壹個條形碼（可能在將來包含QR碼）
1028,45,潛在買家需要在每個階段掃描ROI，以監控該階段的閾值
1028,46,管理人員可以用顏色指示器從上系統菜單中檢查儀表板，以監控銷售辦公室的情況
1028,47, 頂部
1028,48,設定付款
1030,1,i.Properties
1030,2,你的家一直在線
1030,3,为您提供最好品质的服务
1030,4,下面的流程遵循以下规则
1030,5,输入页面，搜索单元，选择单元并执行操作。
1030,6,单位De-selection过程\单位发布过程\单位选择历史
1030,7,品质入微\是好房子迈出的第一步。
1030,8,不请自来的阳光清风\花草自然的引入\
1030,9,还有你和家人的健康和幸福\更是好房子不可或缺的所在。
1030,10,  设定楼盘
1030,11,  设定付款
1030,12,  设定单位
1030,13,  单位选择
1030,14,  建立价单
1030,15,  大量汇入/汇出资料
1030,16,  抽签
1030,17,  销售报告
1030,18,  跟踪单位销售状况
1030,19,  单位消耗表
1030,20,1.
1030,21,2.
1030,22,3.
1030,23,4.
1030,24, 抽签
1030,25,销售大使+买家
1030,26,Walkin 用户
1030,27,在销售大使的协助下注册\支付定金并获得投资回报（意愿登记）
1030,28,开发人员管理
1030,29,在适用的情况下冻结销售安排\并进行投票。
1030,30,Walkin用户进入投票结果室\等待结果显示。
1030,31,5.
1030,32,买家
1030,33,登记并进入区域进行单位选择
1030,34,销售大使/销售经理帮助买家
1030,35,操作系统选择单元和打印的PASP合同
1030,36,根据选定的付款计划，准备第一次付款的支票
1030,37,签署合同并向销售大使支付第一张付款支票。
1030,38,推销员
1030,39,将支票和合同副本提交给检验员
1030,40,人群控制管理
1030,41,管理+买家
1030,42,潜在的买家需要支付押金以登记投票的RO
1030,43,开发人员可以定义不同的阶段来控制人群
1030,44,ROI包含一个条形码（可能在将来包含QR码）
1030,45,潜在买家需要在每个阶段扫描ROI，以监控该阶段的阈值
1030,46,管理人员可以用颜色指示器从上系统菜单中检查仪表板，以监控销售办公室的情况
1030,47, 顶部
1030,48,设定付款
1033,1,i.Properties
1033,2,Your home is always online
1033,3,Provide you with the best quality service
1033,4,The following processes are simply follow by the rule
1033,5,Enter the page > Search the unit > Select the Unit and perform action.
1033,6,Unit De-selection Process\Unit Release Process\Unit Selection History
1033,7,Quality detail \ take the first step is a good house.
1033,8,Uninvited sunlight and breeze\ natural introduction of flowers and plants\
1033,9,And the health and happiness of you and your family is an indispensable part of a good house.
1033,10,  Project Setup
1033,11,  Payment Setup
1033,12,  Unit Setup
1033,13,  Unit Selection
1033,14,  Price List
1033,15,  Bulk Import /Export
1033,16,  Balloting
1033,17,  Sales Reports
1033,18,  Unit Status Tracking
1033,19,  Consumption Board
1033,20,1.
1033,21,2.
1033,22,3.
1033,23,4.
1033,24, Balloting
1033,25,Sales Ambassador + Buyer
1033,26,Walkin User
1033,27,register with assist from Sales Ambassador\pay the deposit and receive a ROI (Registration of Intend)
1033,28,Developer Management
1033,29,freeze the Sale Arrangement where applicable and proceed balloting.
1033,30,Walkin User enter the Ballot Result Room and wait for the result displayed.
1033,31,5.
1033,32,Buyer
1033,33,Check-in and enter War Zone for Unit Selection
1033,34,Sales Ambassador / Sales Manager help Buyer 
1033,35,operate SYSTEM to select Unit(s) and Print PASP Contract
1033,36,prepare Cheques for the first payment according to selected Payment Plan
1033,37,sign the contract and pay the first payment cheque to Sales Ambassador.
1033,38,Runner
1033,39,submit the cheque and contract copy to Checker
1033,40,Crowd Control Management
1033,41,Management + Buyer
1033,42,Potential buyer need to pay deposit to register an ROI for balloting
1033,43,Developer can define different stage to control the crowds
1033,44,ROI contains an barcode (possible include QR code in the future)
1033,45,Potential buyer need to scan the ROI on each stage to monitor the threshold on that stage
1033,46,Management can check the dashboard from the upper system menu with color indicator to monitor the sale office situation.
1033,47, TOP
1033,48,Payment Setup
