Number,Identifying,Describe
1028,1,房地產在線銷售平台
1028,2,親愛的
1028,3,感謝您訂購房地產在線銷售系統！閣下的訂單正在處理中，請參考下列訂單資料：
1028,4,已訂購的服務
1028,5,樓盤數量
1028,6,產品功能
1028,7,防禦阻斷服務攻擊(DDoS)
1028,8,電郵通知
1028,9,伺服器監控
1028,10,支援服務
1028,11,本郵件由系統自動發出，請勿直接回復！
1028,12,自動系統集團有限公司
1028,13,版本
1028,14,
1028,15,
1028,16,房地產在線銷售平台 – 服務訂單
1028,17,如有任何查詢，請電郵至<a href="helpdesk@mail.pssasl.com">helpdesk@mail.pssasl.com</a>.
1030,1,房地产在线销售平台
1030,2,亲爱的
1030,3,感谢您订购房地产在线销售系统！阁下的订单正在处理中，请参考下列订单资料：
1030,4,已订购的服务
1030,5,楼盘数量
1030,6,产品功能
1030,7,抵挡阻断服务攻击（DDoS）
1030,8,电邮通知
1030,9,伺服器监控
1030,10,支援服务
1030,11,本邮件由系统自动发出，请勿直接回复！
1030,12,自动系统集团有限公司
1030,13,版本
1030,14,
1030,15,
1030,16,房地产在线销售平台 - 服务订单
1030,17,如有任何查询，请电邮至<a href="helpdesk@mail.pssasl.com">helpdesk@mail.pssasl.com</a>.
1033,1,Property Sales Management System
1033,2,Dear
1033,3,Thank you for subscribing the Property Sales Management System. Your order has been received with following details:
1033,4,SUBSCRIBED SERVICE 
1033,5,NUMBER OF UNITS
1033,6,FUNCTIONS
1033,7,ANTI-DDOS
1033,8,EMAIL NOTIFICATION
1033,9,SERVER MONITORING
1033,10,SUPPORT SERVICES
1033,11,This is an automatically generated email – please do not reply to it.
1033,12,Automated Systems (H.K.) Limited
1033,13,VERSION
1033,14,
1033,15,Regards\
1033,16,Property Sales Management System – Service Subscription
1033,17,If you have any questions\ please contact us at <a href="helpdesk@mail.pssasl.com">helpdesk@mail.pssasl.com</a>. 
