Number,Identifying,Describe
1028,1,房地產在線銷售平台
1028,2,請輸入密碼
1028,3,請輸入確認密碼
1028,4,確定
1028,5,密碼不能為空
1028,6,確認密碼不能為空
1028,7,密碼不一致
1028,8,修改成功
1028,9,返回主頁
1028,10,重置密碼
1028,11,修改失敗
1030,1,房地产在线销售平台
1030,2,请输入密码
1030,3,请输入确认密码
1030,4,确定
1030,5,密码不能为空
1030,6,确认密码不能为空
1030,7,密码不一致
1030,8,修改成功
1030,9,返回主页
1030,10,重置密码
1030,11,修改失败
1033,1,Property Sales Management System
1033,2,Please enter your password
1033,3,Please enter your confirmation password
1033,4,Save
1033,5,The password cannot be empty
1033,6,The confirmation password cannot be empty
1033,7,Inconsistent password
1033,8,Password modified successfully
1033,9,Return to home page!
1033,10,Reset Password
1033,11,Password change failed
