Number,Identifying,Describe
1028,1,i.Properties - 驗證碼
1028,2,親愛的	
1028,3,
1028,4,您的驗證碼是：
1028,5,自動系統集團有限公司
1028,6,本郵件由系統自動發出，請勿直接回覆。
1028,7,：
1028,8,如有任何查詢，請電郵至<a href="helpdesk@mail.pssasl.com">helpdesk@mail.pssasl.com</a>.
1028,9,
1028,10,i.Properties
1030,1,i.Properties - 验证码
1030,2,亲爱的  	
1030,3,	
1030,4,您的验证码是：
1030,5,自动系统集团有限公司
1030,6,本邮件由系统自动发出，请勿直接回复！
1030,7,：
1030,8,如有任何查询，请电邮至<a href="helpdesk@mail.pssasl.com">helpdesk@mail.pssasl.com</a>.
1030,9,
1030,10,i.Properties
1033,1,i.Properties – Verification
1033,2,Dear	
1033,3,
1033,4,Your verification code of i.Properties is 
1033,5,Regards\<br/>Automated Systems (H.K.) Limited	
1033,6,This is an automatically generated email – please do not reply to it.
1033,7,\
1033,8,If you have any questions\ please contact us at <a href="helpdesk@mail.pssasl.com">helpdesk@mail.pssasl.com</a>.
1033,9,.
1033,10,i.Properties
