Number,Identifying,Describe
1028,1,訂閱的信息
1028,2,狀態
1028,3,基本信息
1028,4,樓盤數量
1028,5,產品功能
1028,6,抵禦阻斷服務攻擊(DDoS)
1028,7,電郵通知
1028,8,伺服器監控
1028,9,客戶及技術支援
1028,10,支援
1028,11,支付信息
1028,12,收款方式
1028,13,購買日期
1028,14,創建日期
1028,15,過期日期
1028,16,續費
1028,17,運行
1028,18,停止
1028,19,開始
1028,20,無
1028,21,訂閱類型
1028,22,基礎版
1028,23,高級版
1028,24,進階版
1028,25,您確定要續費嗎？
1028,26,返回
1030,1,订阅的信息
1030,2,状态
1030,3,基本信息
1030,4,楼盘数量
1030,5,产品功能
1030,6,抵挡阻断服务攻击(DDoS)
1030,7,电邮通知
1030,8,伺服器监控
1030,9,支持服务
1030,10,支援
1030,11,支付信息
1030,12,收款方式
1030,13,购买日期
1030,14,创建日期
1030,15,过期日期
1030,16,续费
1030,17,运行
1030,18,停止
1030,19,开始
1030,20,无
1030,21,订阅类型
1030,22,基础版
1030,23,高级版
1030,24,进阶版
1030,25,您确定要续费吗？
1030,26,返回
1033,1,Information Of Subscription
1033,2,Status
1033,3,Basic Information
1033,4,NUMBER OF PROJECTS:
1033,5,Features:
1033,6,ANTI-DDOS:
1033,7,Email Notification:
1033,8,Server Monitoring:
1033,9,Support SERVICES:
1033,10,Support
1033,11,Payment Information
1033,12,Billing Method:
1033,13,Purchasing Date:
1033,14,Create Date:
1033,15,Expiration Date:
1033,16,Renewal
1033,17,Running
1033,18,Stopped
1033,19,Starting
1033,20,None
1033,21,Subscription Type
1033,22,BASIC
1033,23,ADVANCED
1033,24,PREMIUM
1033,25,Are you sure you want to renewal ?
1033,26,Return
