Number,Identifying,Describe
1028,1,您訂閱的產品
1028,2,樓盤數量
1028,3,功能
1028,4,抵禦阻斷服務攻擊(DDoS)
1028,5,電郵通知
1028,6,伺服器監控
1028,7,客戶及技術支援
1028,8,訂閲狀態
1028,9,返回
1028,10,您也許需要等待幾分鐘。
1028,11,您的訂閱產品確定郵件
1028,12,親愛的
1028,13,已完成
1028,14,版本
1028,15,域名為“
1028,16,”的產品正在續費，請稍等一會
1030,1,您订阅的产品
1030,2,楼盘数量
1030,3,功能
1030,4,抵御阻断服务攻击(DDoS)
1030,5,电邮通知
1030,6,伺服器监控
1030,7,客户及技术支援
1030,8,订阅状态
1030,9,返回
1030,10,您也许需要等待几分钟。
1030,11,您的订阅产品确认邮件
1030,12,亲爱的
1030,13,已完成
1030,14,版本
1030,15,域名为“
1030,16,”的产品正在续费，请稍等一会
1033,1,Your Subscription
1033,2,Number of Units
1033,3,Features
1033,4,Anti-DDoS
1033,5,Email Notification
1033,6,Server Monitoring
1033,7,Helpdesk Support
1033,8,Provision Status
1033,9,Return
1033,10,You may need to wait a few minutes.
1033,11,Your subscription product confirmation email
1033,12,Dear
1033,13,Completed
1033,14,Version
1033,15,The domain name "
1033,16," is being renewed\ please wait a monent.
