Number,Identifying,Describe
1028,1,您的訂閱計劃列表
1028,2,屬於您的產品
1028,3,網站名稱
1028,4,訂閱期限
1028,5,狀態
1028,6,運行
1028,7,停止
1028,8,異常
1028,9,開始
1028,10,您還未訂閱我們的產品！
1028,11,續費
1028,12,您確定要續費嗎？
1030,1,您的订阅计划列表
1030,2,属于您的产品
1030,3,网站名称
1030,4,订阅期限
1030,5,状态
1030,6,运行
1030,7,停止
1030,8,异常
1030,9,开始
1030,10,您还未订阅我们的产品！
1030,11,续费
1030,12,您确定要续费吗？
1033,1,Your Subscription Plan List
1033,2,The Products Belong To You
1033,3,WEBSITE NAME
1033,4,SUBSCRIPTION PERIOD
1033,5,STATUS
1033,6,Running
1033,7,Stopped
1033,8,Abnormal
1033,9,Starting
1033,10,You have not subscribed to our products!
1033,11,Renewal
1033,12,Are you sure you want to renewal ?
