Number,Identifying,Describe
1028,1,登錄 i.Properties
1028,2,忘記密碼？
1028,3,登錄
1028,4,您還沒有本平台的賬號嗎？
1028,5,建立新賬戶
1028,6,返回主頁
1028,7,用戶名
1028,8,密碼
1028,9,i.Properties
1030,1,登录 i.Properties
1030,2,忘记密码？
1030,3,登录
1030,4,您还没有本平台的账号吗？
1030,5,新建账户
1030,6,返回主页
1030,7,用户名
1030,8,密码
1030,9,i.Properties
1033,1,Login to i.Properties
1033,2,Forgot password?
1033,3,Log in
1033,4,Don't have an account yet?
1033,5,Create your account now!
1033,6,Return to home page!
1033,7,Username
1033,8,Password
1033,9,i.Properties
