Number,Identifying,Describe
1028,1,i.Properties
1028,2,請輸入用戶名/郵箱
1028,3,請輸入驗證碼
1028,4,下一步
1028,5,用戶名不能為空
1028,6,驗證碼不能為空
1028,7,驗證碼不正確
1028,8,郵箱未被註冊
1028,9,用戶名不正確
1028,10,返回主頁
1028,11,請點擊發送郵箱按鈕發送郵件驗證碼，並將驗證碼填入文本框內
1028,12,點擊發送郵箱驗證碼
1028,13,請先輸入驗證碼
1028,14,驗證碼不正確
1028,15,郵箱驗證碼已發送，請查看您的郵箱
1028,16,s 重新發送
1028,17,重新發送驗證碼
1028,18,請先點擊發送郵件
1028,19,郵件已過期\請重新發送郵件
1028,20,重置密碼
1028,21,郵箱不正確
1030,1,i.Properties
1030,2,请输入用户名/邮箱
1030,3,请输入验证码
1030,4,下一步
1030,5,用户名不能为空
1030,6,验证码不能为空
1030,7,验证码不正确
1030,8,邮箱未被注册
1030,9,用户名不正确
1030,10,返回主页
1030,11,请点击发送邮箱按钮发送邮件验证码，并将验证码填入文本框内
1030,12,点击发送邮箱验证码
1030,13,请先输入验证码
1030,14,验证码不正确
1030,15,邮箱验证码已发送，请查看您的邮箱
1030,16,s 重新发送
1030,17,重新发送验证码
1030,18,请先点击发送邮件
1030,19,邮件已过期\请重新发送邮件
1030,20,重置密码
1030,21,邮箱不正确
1033,1,i.Properties
1033,2,Please enter your username/email address
1033,3,Please enter the verification code
1033,4,Next
1033,5,The username cannot be empty
1033,6,The verification code cannot be empty
1033,7,The verification code is incorrect
1033,8,Email is not registered
1033,9,Incorrect username
1033,10,Return to home page!
1033,11,Please click the button to send the mail verification code and fill in the text box with the verification code
1033,12,Send 
1033,13,Please enter the verification code 
1033,14,The verification code is incorrect
1033,15,The mailbox verification code has been sent. Please check your mailbox
1033,16,s Re-send
1033,17,Resend the verification code
1033,18,Please click send mail first
1033,19,Email has expired\ please resend it
1033,20,Reset Password
1033,21,The Email  is error
