Number,Identifying,Describe
1028,1,i.Properties
1028,2,親愛的
1028,3,您好！
1028,4,您訂閱的 i.Properties - 
1028,5,，將於
1028,6,過期。
1028,7,<p>請準時繳交續費，否則，您的系統將會停止運作，所有數據也將會被刪除。</p>
1028,8,如有任何查詢，請電郵至<a href="helpdesk@mail.pssasl.com">helpdesk@mail.pssasl.com</a>。
1028,9,<br />*如果您已完成續訂服務，請忽略此郵件。
1028,10,自動系統集團有限公司
1028,11,本郵件由系統自動發出，請勿直接回復！
1028,12,請點擊下面的鏈接，或者將其複製粘貼到您的瀏覽器中以續費您的系統。 
1028,13,/View/Login/Login.html?Type=renew
1028,14,
1028,15,i.Properties – 續訂提醒
1030,1,i.Properties
1030,2,亲爱的
1030,3,您好！
1030,4,您订阅的 i.Properties - 
1030,5,，将于
1030,6,过期。
1030,7, <p>请准时缴交续费，否则，您的系统将会停止运作，所有数据也将会被删除。</p>
1030,8, 如有任何查询，请电邮至<a href="helpdesk@mail.pssasl.com">helpdesk@mail.pssasl.com</a>。
1030,9,<br />*如果您已完成续订服务，请忽略此邮件。
1030,10,自动系统集团有限公司
1030,11,本邮件由系统自动发出，请勿直接回复！
1030,12,请点击下面的链接，或者將其复制粘贴到您的浏览器中以续费您的系统。 
1030,13,/View/Login/Login.html?Type=renew
1030,14,
1030,15,i.Properties – 续订提醒
1033,1,i.Properties
1033,2,Dear
1033,3,
1033,4,This is a friendly reminder that the i.Properties you subscribed for 
1033,5,\ <br/><br/>will be expired on 
1033,6,. 
1033,7,<p>Please renew the service on time\ otherwise\ your system will be suspended and all your data will be deleted. </p>
1033,8,If you have any questions\ please contact us at <a href="helpdesk@mail.pssasl.com">helpdesk@mail.pssasl.com</a>.
1033,9,* Please disregard this email if the service is renewed.
1033,10,Automated Systems (H.K.) Limited
1033,11,This is an automatically generated email – please do not reply to it.
1033,12,To renew your system\ please click the link below or copy and paste it into your browser:
1033,13,/View/Login/Login.html?Type=renew
1033,14,Regards\
1033,15,i.Properties – Renewal Reminder
