Number,Identifying,Describe
1028,1,訂閱的信息
1028,2,狀態
1028,3,基本信息
1028,4,樓盤數量
1028,5,產品功能
1028,6,抵禦阻斷服務攻擊(DDoS)
1028,7,電郵通知
1028,8,伺服器監控
1028,9,支援服務
1028,10,支援
1028,11,支付信息
1028,12,收款方式
1028,13,購買日期
1028,14,創建日期
1028,15,過期日期
1028,16,續費
1028,17,運行
1028,18,停止
1028,19,開始
1028,20,創建中
1028,21,訂閱類型
1028,22,基礎版
1028,23,高級版
1028,24,進階版
1028,25,您確定要續費嗎？
1028,26,返回
1028,27,自動付款
1028,28,賬號
1028,29,支付方式
1028,30,開始時間
1028,31,結束時間
1028,32,持有人
1028,33,過期日期
1028,34,詳情
1028,35,自動支付信息
1028,36,自動支付詳情
1028,37,支付編號
1028,38,支付次數
1028,39,訂單時間
1028,40,交易時間
1028,41,貨幣類型
1028,42,交易價格
1028,43,交易狀態
1028,44,更新
1028,45,支付方式
1028,46,卡號
1028,47,持有人
1028,48,過期日期
1028,49,返回
1028,50,請輸入您的卡號
1028,51,請輸入持有人
1028,52,YYYY-MM
1028,53,取消
1028,54,更改卡號信息
1028,55,獲取郵箱驗證碼
1028,56,重新發送
1028,57,請輸入驗證碼
1028,58,驗證您的郵箱
1028,59,取消自動支付
1028,60,取消
1028,61,運行
1028,62,停用
1028,63,鎖定
1028,64,正常
1028,65,異常
1028,66,異常
1028,67,正在停止
1028,68,雲服務器
1028,69,雲數據庫
1028,70,負載均衡
1028,71,域名
1030,1,订阅的信息
1030,2,状态
1030,3,基本信息
1030,4,楼盘数量
1030,5,产品功能
1030,6,抵挡阻断服务攻击(DDoS)
1030,7,电邮通知
1030,8,伺服器监控
1030,9,支援服务
1030,10,支援
1030,11,支付信息
1030,12,收款方式
1030,13,购买日期
1030,14,创建日期
1030,15,过期日期
1030,16,续费
1030,17,运行
1030,18,停止
1030,19,开始
1030,20,创建中
1030,21,订阅类型
1030,22,基础版
1030,23,高级版
1030,24,进阶版
1030,25,您确定要续费吗？
1030,26,返回
1030,27,自动付款
1030,28,账号
1030,29,支付方式
1030,30,开始时间
1030,31,结束时间
1030,32,持有人
1030,33,过期日期
1030,34,详情
1030,35,自动支付信息
1030,36,自动支付详情
1030,37,支付编号
1030,38,支付次数
1030,39,订单时间
1030,40,交易时间
1030,41,货币类型
1030,42,交易价格
1030,43,交易状态
1030,44,更新
1030,45,支付方式
1030,46,卡号
1030,47,持有人
1030,48,过期日期
1030,49,返回
1030,50,请输入您的卡号
1030,51,请输入持有人
1030,52,YYYY-MM
1030,53,取消
1030,54,更改卡号信息
1030,55,获取邮箱验证码
1030,56,重新发送
1030,57,请输入验证码
1030,58,验证您的邮箱
1030,59,取消自动支付
1030,60,取消
1030,61,运行
1030,62,停用
1030,63,锁定
1030,64,正常
1030,65,异常
1030,66,异常
1030,67,正在停止
1030,68,云服务器
1030,69,云数据库
1030,70,负载均衡
1030,71,域名
1033,1,Information Of Subscription
1033,2,Status
1033,3,Basic Information
1033,4,Number of Units:
1033,5,Features:
1033,6,Anti-DDoS:
1033,7,Email Notification:
1033,8,Server Monitoring:
1033,9,Helpdesk Support
1033,10,Support
1033,11,Payment Information
1033,12,Billing Method:
1033,13,Purchasing Date:
1033,14,Create Date:
1033,15,Expiration Date:
1033,16,Renewal
1033,17,Running
1033,18,Stopped
1033,19,Starting
1033,20,Creating
1033,21,Subscription Type
1033,22,Basic
1033,23,Advanced
1033,24,Premium
1033,25,Are you sure you want to renewal ?
1033,26,Return
1033,27,Automatic Payment
1033,28,Card Number
1033,29,Payment Method
1033,30,Autopay Start Date
1033,31,End Date
1033,32,Name As Shown On Card
1033,33,Expiry Date
1033,34,Detail
1033,35,Auto Payment Information
1033,36,Auto Payment Detail
1033,37,Payment Number
1033,38,Frequency
1033,39,Order Date
1033,40,Trading Date
1033,41,Currency
1033,42,Amount
1033,43,Status
1033,44,Update
1033,45,Payment Method
1033,46,Card Number
1033,47,Holder Name
1033,48,Expire Date
1033,49,Return
1033,50,Please enter your card number
1033,51,Please enter your holder name
1033,52,YYYY-MM
1033,53,Cancel
1033,54,Change Card Number Information
1033,55,Send Verification Code Email
1033,56,Resend
1033,57,Please enter your verification code
1033,58,Verify Your Email
1033,59,Cancel Autopay
1033,60,Go
1033,61,Active
1033,62,Inactive
1033,63,Locked
1033,64,Enable
1033,65,Disable
1033,66,Abnormal
1033,67,Stopping
1033,68,Elastic Compute Service
1033,69,ApsaraDB for RDS
1033,70,Server Load Balancer
1033,71,Domains
