Number,Identifying,Describe
1028,1,您訂閱的產品
1028,2,樓盤數量
1028,3,功能
1028,4,抵禦阻斷服務攻擊(DDoS)
1028,5,電郵通知
1028,6,伺服器監控
1028,7,客戶及技術支援
1028,8,訂閲狀態
1028,9,進入訂閲計劃列表
1028,10,您也許需要等待幾分鐘。
1028,11,您的訂閱產品確定郵件
1028,12,親愛的
1028,13,已完成
1028,14,版本
1030,1,您订阅的产品
1030,2,楼盘数量
1030,3,功能
1030,4,抵御阻断服务攻击(DDoS)
1030,5,电邮通知
1030,6,伺服器监控
1030,7,客户及技术支援
1030,8,订阅状态
1030,9,进入订阅计划列表
1030,10,您也许需要等待几分钟。
1030,11,您的订阅产品确认邮件
1030,12,亲爱的
1030,13,已完成
1030,14,版本
1033,1,YOUR SUBSCRIBE PRODUCT
1033,2,NUMBER OF UNITS
1033,3,FEATURES
1033,4,ANTI-DDOS
1033,5,EMAIL NOTIFICATION
1033,6,SERVER MONITORING
1033,7,SUPPORT TICKET
1033,8,PROVISION STATUS
1033,9,GO TO SUBSCRIPTION PLAN LIST
1033,10,You may need to wait a few minutes.
1033,11,Your subscription product confirmation email
1033,12,Dear
1033,13,Completed
1033,14,Version
