Number,Identifying,Describe
1028,1,主頁面
1028,2,產品特點
1028,3,價格
1028,4,个人
1028,5,登錄
1028,6,註冊
1028,7,退出登錄
1028,8,修改個人信息
1028,9,修改密碼
1028,10,本 平 台 可 助 你 策 劃 以 及 籌 備 開 盤 過 程
1028,11,并 立 刻 獲 得 關 注
1028,12,本 平 台 是 一 個 高 效 率 的 售 樓 系 統
1028,13,有 效 地 管 理 您 的 選 房 銷 售 過 程
1028,14, 訂 閱 
1028,15,觀 看 產 品 視 頻
1028,16,房地產在線銷售平台
1028,17,公司介紹
1028,18,自動系統集團有限公司（ASL）擁有四十多年的成功經驗
1028,19,在香港及周邊地區的客戶、合作夥伴和供應商口中享有卓越的聲譽。
1028,20,我們在香港、中國大陸、臺灣、澳門、泰國、新加坡、馬來西亞、
1028,21,歐洲和美國等多個地方都有分公司和員工。
1028,17,公司介紹
1030,1,主页面
1030,2,产品特点
1030,3,价格
1030,4,个人
1030,5,登录
1030,6,注册
1030,7,退出登录
1030,8,修改个人信息
1030,9,修改密码
1030,10,本 平 台 可 助 你 策 划 以 及 筹 备 开 盘 过 程
1030,11,并 立 刻 获 得 关 注
1030,12,本 平 台 是 一 个 高 效 率 的 售 楼 系 统
1030,13,有 效 地 管 理 您 的 选 房 销 售 过 程
1030,14, 订 阅 
1030,15,观 看 产 品 视 频
1030,16,房地产在线销售平台
1030,17,公司介绍
1030,18,自动系统集团有限公司（ASL）拥有四十多年的成功经验
1030,19,在香港及周边地区的客户、合作伙伴和供应商口中享有卓越的声誉。
1030,20,我们在香港、中国大陆、台湾、澳门、泰国、新加坡、马来西亚、
1030,21,欧洲和美国等多个地方都有分公司和员工。
1033,1,HOME
1033,2,FEATURES
1033,3,PRICING
1033,4,PERSONAL
1033,5,LOG IN
1033,6,SIGN UP FREE
1033,7,LOG OUT
1033,8,MODIFY PERSONAL INFORMATION
1033,9,MODIFY PASSWORD
1033,10,Let's get your property sales on our platform 
1033,11,and get attention right away
1033,12,Property Sales Management System is an efficient Property Sales Platform
1033,13,which helps manage the sales process effectively
1033,14,Subscribe
1033,15,Watch the product video
1033,16,Property Sales Management System
1033,17,Company Introduction
1033,18,Automated Systems (H.K.) Limited (ASL) has a distinguished and proud reputation of more than 40 years of successful 
1033,19,business in Hong Kong and surrounding regions with our customers, partners and vendors.
1033,20,We have subsidiaries and associates in a number of locations\ including Hong Kong\ mainland China\ Taiwan, Macau\
1033,21,Thailand\ Singapore\ Malaysia\ Europe and the United States.
