Number,Identifying,Describe
1028,1,房地產在線銷售平台
1028,2,修改賬號密碼
1028,3,
1028,4,請輸入舊密碼
1028,5,請輸入新密碼
1028,6,請輸入確認密碼
1028,7,請輸入驗證碼
1028,8,獲取郵箱驗證碼
1028,9,重新發送
1028,10,修改密碼
1030,1,房地在线销售平台
1030,2,修改账号密码
1030,3,
1030,4,请输入旧密码
1030,5,请输入新密码
1030,6,请输入确认密码
1030,7,请输入验证码
1030,8,获取邮箱验证码
1030,9,重新发送
1030,10,修改密码
1033,1,Property Sales Management System
1033,2,Modify Account Password
1033,3,
1033,4,Please enter the old password
1033,5,Please enter the new password
1033,6,Please enter the confirm password
1033,7,Please enter your verification code
1033,8,Send Verification Code Email
1033,9,Resend
1033,10,Modify Password
