Number,Identifying,Describe
1028,1,主頁面
1028,2,產品特點
1028,3,訂閱
1028,4,賬號
1028,5,登錄
1028,6,註冊
1028,7,退出登錄
1028,8,賬號資料
1028,9,修改密碼
1028,10,i.Properties
1028,11,訂閱狀態
1028,12,訂閲計劃列表
1028,13,登錄時間：
1028,14,郵箱：
1028,15,版權申明
1028,16,隱私政策
1028,17,© 2018 Automated Systems Holdings Limited
1028,18,版權所有
1028,19,使用條款
1028,20,隱私策略
1028,21,站內導航
1028,22,ICP備案許可證序列號：xxxxx
1028,23,12345678
1028,24,12345678
1028,25,香港新界，沙田安心街11號，華順廣場15樓
1028,26,asl@huhu.cn
1028,27,關於我們
1028,28,產品信息
1028,29,關注我們
1028,30,自動系統集團有限公司（ASL）擁有四十多年的成功經驗\在香港及周邊地區的客戶、合作夥伴和供應商口中享有卓越的聲譽。
1028,31,i.Properties
1030,1,主页面
1030,2,产品特点
1030,3,订阅
1030,4,账号
1030,5,登录
1030,6,注册
1030,7,退出登录
1030,8,账号资料
1030,9,修改密码
1030,10,i.Properties
1030,11,订阅状态
1030,12,订阅计划列表
1030,13,登录时间：
1030,14,邮箱：
1030,15,版权申明
1030,16,隐私政策
1030,17,© 2018 Automated Systems Holdings Limited
1030,18,版权所有
1030,19,使用条款
1030,20,隐私策略
1030,21,站内导航
1030,22,ICP备案许可证序列号：xxxx
1030,23,12345678
1030,24,12345678
1030,25,香港新界，沙田安心街11号，华顺广场15楼
1030,26,asl@huhu.cn
1030,27,关于我们
1030,28,产品信息
1030,29,关注我们
1030,30,自动系统集团有限公司（ASL）拥有四十多年的成功经验\在香港及周边地区的客户、合作伙伴和供应商口中享有卓越的声誉。
1030,31,i.Properties
1033,1,Home
1033,2,Features
1033,3,Subscribe
1033,4,Account
1033,5,Log in
1033,6,Sign up free
1033,7,Log out
1033,8,Account information
1033,9,Change password
1033,10,i.Properties
1033,11,Subscription status
1033,12,Subscription plan list
1033,13,Login Time:
1033,14,Email:
1033,15,Copyright Notice
1033,16,Privacy Policy
1033,17,© 2018 Automated Systems Holdings Limited
1033,18,All Rights Reserved
1033,19,Terms of Use
1033,20,Privacy Policy
1033,21,Site Map
1033,22,ICP Record license serial number
1033,23,12345678
1033,24,12345678
1033,25,15/F\ Topsail Plaza\ No. 11 On Sum Street\Shatin\ Hong Kong
1033,26,asl@huhu.cn
1033,27,About Us
1033,28,Product Information
1033,29,Follow Us
1033,30,Automated Systems (H.K.) Limited (ASL) has a distinguished and proud reputation of more than 40 years of successful business in Hong Kong and surrounding regions with our customers\ partners and vendors.
1033,31,i.Properties
