Number,Identifying,Describe
1028,1,建立新賬號
1028,2,只需要三分鐘！
1028,3,註冊
1028,4,點擊「註冊」即表示你同意我們的服務條款和隱私政策
1028,5,已經有賬號？
1028,6,登錄
1028,7,返回主頁！
1028,8,用戶名
1028,9,密碼
1028,10,確認密碼
1028,11,英文名
1028,12,中文名
1028,13,郵箱
1028,14,公司名稱
1028,15,手機號碼
1028,16,請輸入驗證碼
1028,17,公司地址
1028,18,公司電話
1028,19,您的賬號已激活，請重新登錄系統！
1028,20,房地產在線銷售平台
1030,1,建立新账号
1030,2,只需要三分钟！
1030,3,注册
1030,4,点击「注册」即表示你同意我们的服务条款和隐私政策
1030,5,已经有账号？
1030,6,登录
1030,7,返回主页！
1030,8,用户名
1030,9,密码
1030,10,确认密码
1030,11,英文名
1030,12,中文名
1030,13,邮箱
1030,14,公司名称
1030,15,手机号码
1030,16,请输入验证码
1030,17,公司地址
1030,18,公司电话
1030,19,您的账号已激活，请重新登录系统！
1030,20,房地产在线销售平台
1033,1,Sign up now
1033,2,It only takes 3 minutes!
1033,3,Sign up
1033,4,By clicking Sign Up\you agree to our terms of services and privacy policy
1033,5,Already have an account?
1033,6, Log in
1033,7,Return to home page! 
1033,8,Username
1033,9,Password
1033,10,Confirm Password
1033,11,English Name
1033,12,Chinese Name
1033,13,Email
1033,14,Company Name
1033,15,Company Phone Number
1033,16,Please enter the verification code
1033,17,Company Address
1033,18,Telephone Number
1033,19,Your account has been activated.Please log in the system again!
1033,20,Property Sales Management System
